Company:,AeroCab Services,,,,,,
Date:,,,,,,,
,,,,,,,
,,,,,,,
Ride ID,OriginArea,BookingTime,Total (hh:mm:ss),Traffic Period,Confirmed,Confirmation Time,Ride Start Time
RD1,Domestic Terminal,9:31 PM,00:18:00,Peak Time,No,18,0
RD2,Domestic Terminal,11:58 AM,00:04:00,Non-Peak Time,Yes,8,1
RD3,Domestic Terminal,12:25 PM,00:01:00,Non-Peak Time,No,7,0
RD4,Domestic Terminal,12:17 PM,00:04:00,Non-Peak Time,No,8,0
RD5,Domestic Terminal,3:34 AM,00:01:00,Non-Peak Time,No,6,0
RD6,Domestic Terminal,7:06 PM,00:21:00,Peak Time,Yes,19,2
RD7,Domestic Terminal,11:53 AM,00:05:00,Non-Peak Time,Yes,8,2
RD8,Domestic Terminal,12:38 PM,00:02:00,Non-Peak Time,No,6,0
RD9,Domestic Terminal,1:28 PM,00:05:00,Non-Peak Time,No,9,0
RD10,Domestic Terminal,1:16 PM,00:05:00,Non-Peak Time,No,6,0
RD11,Domestic Terminal,11:44 AM,00:03:00,Non-Peak Time,No,8,0
RD12,Domestic Terminal,12:53 PM,00:02:00,Non-Peak Time,No,7,0
RD13,Domestic Terminal,11:12 PM,00:04:00,Non-Peak Time,Yes,5,2
RD14,Domestic Terminal,10:47 AM,00:02:00,Non-Peak Time,No,7,0
RD15,Domestic Terminal,9:22 PM,00:16:00,Peak Time,No,16,0
RD16,Domestic Terminal,6:11 PM,00:18:00,Peak Time,No,18,0
RD17,Domestic Terminal,1:58 PM,00:04:00,Non-Peak Time,No,6,0
RD18,Domestic Terminal,4:33 AM,00:04:00,Non-Peak Time,No,6,0
RD19,Domestic Terminal,2:05 AM,00:03:00,Non-Peak Time,Yes,4,2
RD20,Domestic Terminal,10:22 AM,00:02:00,Non-Peak Time,No,8,0
RD21,Domestic Terminal,5:10 AM,00:03:00,Peak Time,Yes,8,2
RD22,Domestic Terminal,11:59 AM,00:05:00,Non-Peak Time,No,9,0
RD23,Domestic Terminal,11:47 AM,00:04:00,Non-Peak Time,No,6,0
RD24,Domestic Terminal,1:19 AM,00:05:00,Non-Peak Time,Yes,7,2
RD25,Domestic Terminal,8:39 PM,00:17:00,Peak Time,No,17,0
RD26,Domestic Terminal,11:33 AM,00:04:00,Non-Peak Time,Yes,8,1
RD27,Domestic Terminal,1:35 AM,00:02:00,Non-Peak Time,No,6,0
RD28,Domestic Terminal,11:06 AM,00:04:00,Non-Peak Time,Yes,9,1
RD29,Domestic Terminal,11:09 AM,00:05:00,Non-Peak Time,Yes,7,2
RD30,Domestic Terminal,11:28 AM,00:04:00,Non-Peak Time,No,7,0
RD31,Domestic Terminal,11:48 AM,00:02:00,Non-Peak Time,No,7,0
RD32,Domestic Terminal,7:40 PM,00:23:00,Peak Time,No,23,0
RD33,Domestic Terminal,1:38 PM,00:02:00,Non-Peak Time,No,7,0
RD34,Domestic Terminal,4:32 AM,00:02:00,Non-Peak Time,Yes,5,1
